Collection Day,Month,Date,Year,Residue rate,Truck Number,Date
Tue,May,5/22,2018,7.50%,148,5/22/2018
Wed,May,5/23,2018,6.15%,151,5/23/2018
Thu,May,5/24,2018,8.13%,149,5/24/2018
Mon,May,5/29,2018,15.00%,148,5/29/2018
Tue,May,5/30,2018,4.32%,147,5/30/2018
Tue,May,5/30,2018,8.21%,150,5/30/2018
Wed,May,5/31,2018,15.00%,152,5/31/2018
Mon,Jun,6/25,2018,6.52%,152,6/25/2018
Mon,Jun,6/25,2018,15.69%,148,6/25/2018
Wed,Jun,6/27,2018,11.88%,147,6/27/2018
Mon,Jul,7/2,2018,7.50%,149,7/2/2018
Tue,Jul,7/3,2018,8.24%,149,7/3/2018
Wed,Jul,7/5,2018,9.21%,151,7/5/2018
Mon,Jul,7/9,2018,7.20%,151,7/9/2018
Tue,Jul,7/10,2018,6.88%,150,7/10/2018
Thu,Jul,7/12,2018,5.96%,147,7/12/2018
Mon,Jul,7/16,2018,7.80%,152,7/16/2018
Tue,Jul,7/17,2018,10.23%,147,7/17/2018
Thu,Jul,7/19,2018,11.73%,150,7/19/2018
Tue,Jul,7/24,2018,7.17%,150,7/24/2018
Mon,Jul,7/30,2018,21.43%,148,7/30/2018
Wed,Aug,8/1,2018,9.29%,151,8/1/2018
Thu,Aug,8/9,2018,9.47%,149,8/9/2018
Wed,Aug,8/15,2018,30.25%,149,8/15/2018
Thu,Aug,8/16,2018,29.77%,147,8/16/2018
Mon,Aug,8/27,2018,13.60%,150,8/27/2018
Thu,Aug,8/30,2018,14.06%,149,8/30/2018
Mon,Sep,9/17,2018,23.06%,147,9/17/2018
Tue,Sep,9/18,2018,9.17%,149,9/18/2018
Thu,Sep,9/20,2018,7.57%,148,9/20/2018
Mon,Oct,10/1,2018,13.42%,148,10/1/2018
Tue,Oct,10/2,2018,13.24%,150,10/2/2018
Tue,Oct,10/2,2018,9.32%,149,10/2/2018
Wed,Oct,10/3,2018,6.04%,147,10/3/2018
Wed,Oct,10/10,2018,7.64%,147,10/10/2018
Wed,Oct,10/10,2018,10.43%,147,10/10/2018
Mon,Oct,10/16,2018,6.56%,148,10/16/2018
Tue,Oct,10/17,2018,11.59%,149,10/17/2018
Wed,Nov,11/28,2018,9.29%,150,11/28/2018
Thu,Nov,11/29,2018,11.09%,148,11/29/2018
Mon,Dec,12/3,2018,7.75%,150,12/3/2018
Wed,Dec,12/5,2018,8.68%,149,12/5/2018
Tue,Dec,12/11,2018,8.57%,150,12/11/2018
Fri,Dec,12/14,2018,9.81%,147,12/14/2018
Fri,Dec,12/21,2018,11.67%,148,12/21/2018
Tue,Dec,12/26,2018,11.18%,151,12/26/2018
Wed,Jan,1/16,2019,8.68%,122,1/16/2019
Wed,Jan,1/16,2019,6.90%,157,1/16/2019
Thu,Jan,1/17,2019,5.83%,148,1/17/2019
Tue,Jan,1/22,2019,6.90%,150,1/22/2019
Tue,Jan,1/29,2019,4.60%,147,1/29/2019
Wed,Jan,1/30,2019,8.89%,147,1/30/2019
Thu,Jan,1/31,2019,9.32%,151,1/31/2019
Mon,Feb,2/4,2019,5.30%,147,2/4/2019
Mon,Feb,2/4,2019,7.34%,151,2/4/2019
Tue,Feb,2/12,2019,3.21%,148,2/12/2019
Wed,Feb,2/13,2019,5.00%,149,2/13/2019
Thu,Feb,2/14,2019,7.38%,150,2/14/2019
Thu,Feb,2/14,2019,4.41%,151,2/14/2019
Wed,Feb,2/21,2019,7.92%,150,2/21/2019
Thu,Feb,2/22,2019,3.18%,149,2/22/2019
Thu,Feb,2/22,2019,6.19%,150,2/22/2019
Wed,Feb,2/27,2019,1.43%,138,2/27/2019
Wed,Feb,2/27,2019,4.55%,148,2/27/2019
Wed,Feb,2/27,2019,24.74%,150,2/27/2019
Thu,Feb,2/28,2019,6.00%,149,2/28/2019
Fri,Mar,3/1,2019,10.79%,151,3/1/2019
Wed,Mar,3/6,2019,4.05%,151,3/6/2019
Thu,Mar,3/7,2019,7.05%,147,3/7/2019
Thu,Mar,3/7,2019,9.44%,149,3/7/2019
Fri,Mar,3/8,2019,6.00%,148,3/8/2019
Tue,Mar,3/12,2019,5.83%,148,3/12/2019
Tue,Mar,3/12,2019,2.67%,140,3/12/2019
Wed,Mar,3/13,2019,20.00%,,3/13/2019
Thu,Mar,3/14,2019,6.43%,148,3/14/2019
Fri,Apr,4/5,2019,5.36%,151,4/5/2019
Tue,Apr,4/9,2019,2.94%,148,4/9/2019
Wed,Apr,4/10,2019,3.82%,151,4/10/2019
Thu,Apr,4/11,2019,6.00%,148,4/11/2019
Fri,Apr,4/12,2019,7.69%,151,4/12/2019
Fri,Apr,4/12,2019,3.25%,149,4/12/2019
Tue,Apr,4/17,2019,2.78%,148,4/17/2019
Wed,Apr,4/18,2019,2.83%,147,4/18/2019
Thu,Apr,4/19,2019,11.07%,151,4/19/2019
Thu,Apr,4/19,2019,6.54%,152,4/19/2019
Mon,Apr,4/22,2019,8.33%,147,4/22/2019
Wed,May,5/1,2019,7.94%,147,5/1/2019
Wed,May,5/1,2019,10.50%,150,5/1/2019
Mon,May,5/20,2019,10.71%,149,5/20/2019
Wed,Jun,6/5,2019,2.63%,149,6/5/2019
Mon,Jun,6/10,2019,7.22%,147,6/10/2019
Thu,Jun,6/27,2019,4.75%,148,6/27/2019
Wed,Jul,7/3,2019,4.17%,149,7/3/2019
Thu,Jul,7/5,2019,6.82%,149,7/5/2019
Wed,Jul,7/10,2019,5.71%,140,7/10/2019
Tue,Jul,7/16,2019,1.92%,151,7/16/2019
Tue,Jul,7/16,2019,3.65%,148,7/16/2019
Wed,Jul,7/17,2019,3.75%,147,7/17/2019
Wed,Jul,7/24,2019,2.95%,147,7/24/2019
Wed,Jul,7/24,2019,0.91%,149,7/24/2019
Thu,Jul,7/25,2019,3.13%,148,7/25/2019
Fri,Aug,8/2,2019,3.33%,147,
Tue,Aug,8/6,2019,3.42%,150,
Tue,Aug,8/6,2019,3.39%,148,
Wed,Aug,8/7,2019,5.40%,150,
Wed,Aug,8/7,2019,3.68%,152,
Thu,Aug,8/8,2019,12.68%,147,
Thu,Aug,8/8,2019,5.00%,138,
Mon,Aug,8/12,2019,4.34%,147,
Mon,Aug,8/12,2019,6.67%,151,
Tue,Aug,8/13,2019,2.89%,150,
Tue,Aug,8/13,2019,4.62%,147,
Wed,Aug,8/14,2019,4.22%,149,
Thu,Aug,8/15,2019,4.06%,149,
Fri,Aug,8/16,2019,2.94%,149,
Wed,Aug,8/21,2019,5.68%,147,
Wed,Aug,8/28,2019,4.21%,151,
Wed,Aug,8/28,2019,3.26%,147,
Wed,Aug,8/28,2019,5.00%,149,
Mon,Sep,9/3,2019,4.69%,149,
Tue,Sep,9/4,2019,2.03%,149,
Thu,Sep,9/6,2019,4.17%,150,
Tue,Sep,9/10,2019,4.38%,147,
Wed,Sep,9/11,2019,7.96%,152,
Wed,Sep,9/11,2019,10.00%,148,
Thu,Sep,9/12,2019,5.83%,150,
Tue,Oct,10/8,2019,1.48%,151,
Thu,Oct,10/10,2019,5.79%,151,
Mon,Oct,10/28,2019,7.14%,151,
Tue,Oct,10/29,2019,1.94%,148,
Thu,Oct,10/31,2019,4.58%,149,
Tue,Nov,11/5,2019,3.57%,149,
Thu,Nov,11/7,2019,4.11%,147,
Mon,Nov,11/11,2019,4.33%,147,
Wed,Nov,11/20,2019,3.82%,147,
Wed,Nov,11/20,2019,3.38%,148,
Fri,Dec,12/6,2019,12.06%,150,
Fri,Dec,12/6,2019,10.00%,148,
Fri,Dec,12/6,2019,2.27%,152,
Mon,Jan,1/20,2020,1.82%,149,
Wed,Apr,4/1,2020,3.46%,151,
Thu,Apr,4/2,2020,3.61%,149,
Fri,Apr,4/3,2020,6.52%,147,
Mon,Apr,4/6,2020,4.87%,147,
Mon,Apr,4/6,2020,6.67%,150,
Mon,Apr,4/6,2020,2.65%,149,
Mon,Apr,4/13,2020,6.32%,148,
Fri,Apr,4/17,2020,1.67%,149,
Tue,Apr,4/22,2020,2.67%,149,
Fri,May,5/1,2020,2.78%,150,
Fri,May,5/1,2020,6.75%,147,
Wed,May,5/13,2020,2.19%,122,
Mon,May,5/18,2020,3.08%,122,
Mon,May,5/18,2020,4.00%,148,
Tue,May,5/19,2020,1.94%,122,
Thu,May,5/21,2020,1.40%,150,
Thu,May,5/29,2020,2.31%,147,
Mon,Jun,6/8,2020,3.50%,148,
Thu,Jun,6/11,2020,2.37%,149,
Mon,Jun,6/15,2020,4.25%,150,
Fri,Jun,6/26,2020,5.95%,150,
Fri,Jun,6/26,2020,5.16%,151,
Thu,Jul,7/2/2020,2020,3.21%,151,
Thu,Jul,7/2/2020,2020,2.71%,148,
Mon,Jul,7/6/2020,2020,3.50%,148,
Wed,Jul,7/29/2020,2020,5.00%,150,
Wed,Jul,7/29/2020,2020,2.27%,149,
Thu,Jul,7/30/2020,2020,3.04%,148,
Thu,Aug,8/6/2020,2020,3.80%,149,
Thu,Aug,8/6/2020,2020,1.96%,150,
Mon,Aug,8/10/2020,2020,3.43%,147,
Thu,Aug,8/20/2020,2020,4.41%,150,
Wed,Aug,8/26/2020,2020,7.33%,147,
Mon,Aug,8/31/2020,2020,14.29%,147,
Mon,Aug,8/31/2020,2020,9.05%,150,
Thu,Sep,9/3/2020,2020,6.25%,150,
Tue,Sep,9/15/2020,2020,2.17%,147,
Wed,Sep,9/16/2020,2020,1.45%,150,
Thu,Sep,9/17/2020,2020,1.56%,149,
Thu,Sep,9/17/2020,2020,14.13%,151,
Fri,Sep,9/18/2020,2020,2.63%,151,
Mon,Sep,9/21/2020,2020,4.42%,150,
Thu,Sep,9/24/2020,2020,1.67%,147,
Fri,Sep,9/25/2020,2020,2.33%,149,
Fri,Sep,9/25/2020,2020,9.72%,147,
Wed,Sep,9/30/2020,2020,1.90%,147,
Fri,Oct,10/2/2020,2020,3.33%,149,
Mon,Oct,10/5/2020,2020,4.84%,150,
Mon,Oct,10/5/2020,2020,10.87%,151,
Tue,Oct,10/6/2020,2020,2.50%,149,
Wed,Oct,10/7/2020,2020,2.50%,147,
Thu,Oct,10/8/2020,2020,1.67%,149,
Fri,Oct,10/9/2020,2020,3.06%,149,
Fri,Oct,10/9/2020,2020,2.90%,150,
Fri,Oct,10/23/2020,2020,6.67%,147,
Mon,Oct,10/26/2020,2020,5.95%,148,
Thu,Oct,10/29/2020,2020,5.00%,150,
Mon,Nov,11/2/2020,2020,2.78%,149,
Wed,Nov,11/4/2020,2020,2.92%,148,
