municipality,unemployment_rate,median_household_income,mean_household_income,families_below_poverty_level_%,people_below_poverty_level_%
Weymouth ,5.8,84942,100858,4.3,6.0
Winthrop ,3.6,74069,102769,5.4,8.8
Belchertown ,4.4,78578,96836,3.7,9.3
Needham ,4.0,165547,223894,1.4,2.7
Quincy ,5.1,77562,94360,8.0,11.3
Abington ,4.3,99381,105390,2.5,4.1
Kingston ,2.5,90754,110433,1.2,3.0
Mattapoisett Center ,2.9,93826,159992,1.9,2.8
South Duxbury ,4.4,171324,228456,1.7,2.6
Wareham Center ,5.0,41250,56260,16.2,20.4
Cambridge ,4.0,103154,139991,7.3,12.7
Pinehurst ,4.7,107159,124086,2.6,4.0
Bourne ,4.7,51595,71079,4.5,7.2
West Wareham ,4.8,52404,69523,0.0,4.5
Adams ,5.3,48252,62772,13.2,14.4
Great Barrington ,2.9,49368,70188,0.0,6.1
Ipswich ,6.8,65893,89351,5.6,9.6
Lawrence ,9.3,44613,59685,19.0,21.4
Nahant ,2.5,97778,138334,1.9,2.4
Milford ,5.3,80371,92640,8.5,11.1
South Lancaster ,4.6,66786,78950,0.0,7.6
Whitinsville ,6.4,77340,89884,5.0,6.1
Winchendon ,4.1,56773,80896,8.3,12.3
Sturbridge ,0.0,102059,119174,3.2,5.0
Danvers ,3.7,89250,110199,5.0,7.1
Essex ,4.9,114479,126180,2.7,7.0
Rowley ,7.1,79554,121590,0.0,1.9
Salisbury ,4.0,78787,104478,4.0,5.6
Baldwinville ,2.1,77768,73978,5.6,6.3
Clinton ,4.4,53972,70416,7.5,11.0
Cordaville ,3.3,167635,194147,1.0,1.1
Fitchburg ,8.3,57207,70654,11.3,15.7
Hopedale ,7.1,107278,107169,3.3,4.9
Lunenburg ,2.6,113750,122202,1.5,2.9
Spencer ,6.8,59331,69358,5.3,12.2
Sharon ,4.5,144333,173768,0.0,2.0
Walpole ,2.9,94375,117674,2.0,4.2
Brockton ,8.3,58469,77290,11.9,14.8
Marshfield ,5.2,88452,105969,5.5,8.2
Weweantic ,2.2,75536,87540,10.0,9.9
Brewster ,4.4,53517,84459,7.3,8.3
East Dennis ,6.3,64096,85935,11.1,10.8
East Harwich ,2.2,85091,89184,4.6,4.6
East Sandwich ,3.4,107793,143541,1.5,2.3
New Seabury ,0.0,110250,149382,0.0,3.5
Pocasset ,2.5,61722,88787,2.7,5.0
Raynham Center ,3.3,99760,103322,2.2,5.5
Somerset ,3.3,84115,101068,2.2,3.9
Taunton ,6.5,62865,80085,10.8,14.2
Northampton ,3.7,66522,93153,7.0,13.7
Medfield ,2.0,127048,161849,3.3,4.0
Milton ,3.6,133718,172407,3.5,4.7
Hingham ,3.8,161607,261675,0.0,2.8
North Plymouth ,5.2,61179,70511,15.4,17.8
Sandwich ,4.4,93333,121219,0.7,7.2
Buzzards Bay ,1.7,75142,116951,2.4,7.0
Amherst Center ,12.2,45098,76188,7.4,31.3
Monson Center ,9.8,64673,77818,4.7,9.3
Acushnet Center ,6.7,81375,85990,6.9,8.1
Norton Center ,6.8,120536,132970,0.0,16.9
Holbrook ,2.5,76055,95665,3.1,5.7
Norwood ,3.0,90133,108643,6.5,8.1
East Falmouth ,4.1,64875,91867,4.5,4.9
Harwich Center ,14.8,70972,92541,0.0,2.6
Monomoscoy Island ,0.0,75625,110282,0.0,0.0
Seabrook ,0.0,109000,128280,0.0,3.5
Seconsett Island ,0.0,-666666666,-999999999,0.0,0.0
West Chatham ,0.0,79464,90701,14.9,17.3
South Deerfield ,4.0,78462,109568,3.8,2.1
Holland ,4.0,67454,93390,2.4,5.5
Mansfield Center ,4.2,92642,119842,2.3,4.1
Bellingham ,8.8,87045,102300,2.8,3.6
Middleborough Center ,3.2,66525,84009,18.2,18.3
Marlborough ,4.0,80943,102739,4.0,5.6
White Island Shores ,6.5,90475,90405,5.8,11.1
Arlington ,3.3,108389,138350,3.1,5.2
Ayer ,3.7,74659,85379,2.9,10.3
Belmont ,4.0,129380,178083,3.9,6.0
Cochituate ,1.9,162390,208802,1.0,1.9
Maynard ,1.2,105254,127380,3.1,3.8
Newton ,2.8,151068,207563,2.5,4.3
Stoneham ,3.1,101549,120525,2.6,5.0
West Concord ,3.7,114440,143008,0.5,5.0
Andover ,1.4,95600,137230,6.3,9.5
Haverhill ,5.2,69426,86187,10.0,12.5
Shelburne Falls ,8.5,44313,62189,11.6,15.2
Burlington ,2.8,118721,139198,2.7,3.8
Dennis ,5.5,90795,113673,2.6,2.5
Webster ,7.9,49051,65583,6.9,11.9
Newburyport ,3.5,109839,145502,4.5,5.9
Gardner ,3.9,49679,68349,9.0,13.9
North Brookfield ,3.6,73393,81047,1.7,5.2
Warren ,19.5,21000,37634,0.0,17.1
North Pembroke ,3.7,96866,109926,1.4,3.7
Onset ,20.8,42727,46268,46.5,26.7
Lowell ,5.8,56878,72670,13.7,19.0
Wakefield ,3.1,100278,129924,2.1,4.2
Marblehead ,4.9,123333,172829,2.7,4.4
Peabody ,4.0,73217,94587,6.7,8.6
Swampscott ,3.3,113407,144767,1.8,3.1
Topsfield ,6.0,135444,145419,6.6,7.8
East Douglas ,3.8,73841,107166,0.0,3.0
South Ashburnham ,5.6,79670,85017,0.0,0.0
Fall River ,8.4,43503,57807,17.3,19.7
Chatham ,5.2,81630,124508,3.5,8.2
North Eastham ,0.0,70864,74274,9.4,9.2
Bliss Corner ,3.0,63958,82067,5.0,8.7
Orange ,8.6,57547,67055,4.8,9.4
Longmeadow ,2.7,122035,162044,0.9,2.2
North Seekonk ,6.1,87700,88753,10.3,8.2
North Westport ,2.0,67522,89913,4.9,7.8
South Amherst ,4.4,59265,89497,3.3,15.5
Chelsea ,4.7,56802,71040,15.8,18.1
Everett ,5.2,65528,78819,10.9,12.6
Harwich Port ,4.7,58438,84575,0.0,11.3
Monument Beach ,0.0,73860,90002,4.3,4.9
South Dennis ,4.3,59963,72374,4.2,8.9
Revere ,5.4,62568,81075,10.2,12.7
Vineyard Haven ,4.3,62521,95907,0.0,8.0
Granby ,4.7,96397,99932,0.0,2.5
Hatfield ,1.8,64688,84899,0.0,4.8
North Amherst ,8.2,48819,71834,4.0,37.2
Ware ,5.8,42550,56279,21.8,20.9
Millis-Clicquot ,1.8,82847,98167,0.9,2.7
Wellesley ,4.6,197132,287793,3.1,4.4
Marshfield Hills ,2.6,144167,184243,11.7,14.1
Plymouth ,3.6,64242,97431,2.0,6.5
Forestdale ,2.5,98182,109514,4.1,3.7
Barnstable ,4.4,72733,100447,5.7,7.9
Bridgewater ,6.1,95675,109501,6.1,9.4
Randolph ,6.5,82510,96069,7.6,8.6
Popponesset ,0.0,-666666666,38569,47.2,44.0
Popponesset Island ,0.0,-666666666,-999999999,0.0,0.0
Provincetown ,7.1,58313,99872,3.9,10.3
Sagamore ,3.4,91688,118016,3.9,4.6
West Falmouth ,4.3,150246,177622,0.0,1.7
West Yarmouth ,2.7,61956,78616,6.0,6.7
Northfield ,2.1,82000,96968,2.8,5.9
Westfield ,4.3,67862,86684,5.1,7.2
Attleboro ,4.8,74962,95097,6.3,8.6
Duxbury ,9.6,147404,216127,3.4,4.0
New Bedford ,6.4,46321,61328,15.8,20.3
Nantucket ,2.2,110473,141324,2.0,7.0
Dover ,1.6,216250,355097,0.0,0.5
Hanson ,2.7,97500,108544,3.9,3.7
Marion Center ,11.1,77109,161994,0.0,9.4
Lexington ,3.6,186201,231819,2.0,3.2
Malden ,5.0,65975,85003,12.0,15.5
Melrose ,2.8,106955,135189,1.8,4.1
Lenox ,6.0,49167,89605,0.0,7.2
Beverly ,3.4,80586,112540,6.0,9.3
Lynn ,5.9,56181,71597,13.1,16.6
Lynnfield ,5.2,128641,175613,1.9,2.0
Rockport ,3.7,81765,112663,5.4,5.8
Barre ,3.8,50268,67892,0.0,2.7
Leominster ,5.9,61825,81488,10.2,12.6
Worcester ,5.6,48139,68613,14.6,20.0
Wilmington ,3.2,125922,143076,2.2,2.9
Housatonic ,0.0,35481,58525,11.8,14.1
Lee ,3.9,55686,70047,0.0,2.3
North Adams ,5.5,41471,58175,14.2,19.4
Pittsfield ,5.7,51411,69764,10.6,13.4
Athol ,10.0,49653,62635,12.0,17.3
Boxford ,6.5,192417,237254,0.0,0.0
Gloucester ,4.4,72574,96980,6.2,10.0
Saugus ,5.0,88667,103270,7.1,9.8
Northborough ,2.9,114303,156624,1.7,3.3
Rutland ,2.4,84833,94455,4.8,5.8
Westborough ,2.4,87557,118911,4.9,6.8
West Brookfield ,2.0,51680,72354,0.0,3.8
Green Harbor-Cedar Crest ,7.8,111250,114958,0.0,2.5
North Lakeville ,3.8,75509,103144,6.6,5.5
North Scituate ,4.4,108676,153195,3.1,3.7
Ocean Bluff-Brant Rock ,5.4,83101,98164,1.9,6.8
Scituate ,2.1,140419,156175,3.1,4.7
Ocean Grove ,10.5,67861,79090,2.6,12.4
East Pepperell ,4.1,74821,89399,6.4,6.7
Medford ,2.8,96455,120481,3.8,8.8
Falmouth ,2.0,41343,85066,8.0,8.4
West Dennis ,4.0,67469,105002,0.0,6.4
Yarmouth Port ,2.0,74737,99238,4.3,5.7
Boston ,6.6,71115,107608,14.1,18.9
Hopkinton ,9.9,112014,160907,0.0,2.5
Shirley ,1.5,65507,75261,3.5,5.7
Somerville ,3.3,97328,117141,8.2,11.5
Waltham ,3.0,95964,115461,5.3,9.3
Woburn ,3.0,91022,108751,4.4,6.3
Holyoke ,6.0,40769,59685,25.4,29.3
Townsend ,3.1,72500,83552,0.0,5.8
Hudson ,3.2,82431,100724,5.6,5.7
Littleton Common ,4.3,107907,124533,6.3,7.1
Reading ,3.1,132731,147262,2.0,2.8
East Brookfield ,2.4,74821,80801,1.6,6.1
Fiskdale ,4.7,70952,88973,5.0,7.7
Oxford ,4.9,61227,77591,5.9,7.2
Mashpee Neck ,3.6,114904,178678,2.7,5.0
North Falmouth ,5.7,96404,128380,1.2,2.8
Woods Hole ,2.4,97569,188991,7.7,9.8
Millers Falls ,11.6,57917,72156,5.6,10.2
Turners Falls ,4.7,38899,54757,9.1,12.7
Chicopee ,5.9,53225,66591,10.9,13.8
Springfield ,8.2,39432,55658,22.1,26.9
Teaticket ,3.7,64028,92758,1.7,6.4
Smith Mills ,4.6,70692,77661,9.1,11.7
Dedham ,3.7,100757,131790,2.4,4.5
Orleans ,4.8,54750,71199,8.4,10.4
Wilbraham ,1.0,111100,138448,0.0,3.5
Brookline ,2.8,117326,171664,6.3,12.3
Groton ,9.2,65303,139255,4.0,9.7
Williamstown ,4.6,82917,106611,5.6,10.7
Salem ,4.0,68808,87095,11.0,14.7
Winchester ,2.0,169623,227899,1.5,2.3
Hull ,6.7,88476,113431,2.8,4.8
Dennis Port ,6.0,55256,77710,10.7,14.1
Northwest Harwich ,8.1,74208,94534,4.7,7.5
Foxborough ,6.8,70530,108565,3.8,10.8
South Yarmouth ,5.9,61088,76609,3.9,7.2
Pepperell ,5.4,81675,94974,9.8,14.6
Framingham ,5.0,82709,106832,5.7,8.4
Agawam ,3.5,68944,87473,4.3,7.9
Amesbury ,3.6,82468,100890,3.6,6.3
Braintree ,3.5,96522,117154,3.9,4.6
Blandford ,3.4,87500,98521,0.0,2.2
Brookfield ,0.0,64063,74117,9.4,6.2
Chester ,2.6,65250,71762,9.3,13.2
Cheshire ,4.1,79107,86974,0.0,0.0
Devens ,1.8,92426,118557,4.1,21.3
Easthampton ,7.0,63507,80054,3.7,9.2
Franklin ,4.1,122607,148748,2.5,4.0
Deerfield ,8.1,-666666666,90963,0.0,38.9
Greenfield ,5.1,50478,68274,6.7,11.4
Huntington ,3.4,52500,56334,6.0,9.0
Madaket ,10.8,101563,127276,0.0,21.9
Methuen ,6.0,77484,96043,6.8,9.2
Palmer ,6.4,64651,78561,7.9,11.3
Petersham ,0.0,66458,115142,0.0,4.3
Russell ,7.0,49073,58851,11.1,8.9
Siasconset ,0.0,64250,83251,0.0,11.8
Southbridge ,8.8,51270,64448,16.7,20.7
The Pinehills ,4.5,101518,146590,0.0,4.9
Upton ,4.9,89507,120387,0.0,2.6
Watertown ,3.5,101103,124756,4.9,7.6
West Springfield ,5.6,53053,76180,7.5,11.3
Edgartown ,0.0,58750,82355,0.0,0.0
Hanscom AFB ,4.9,108056,110557,0.0,0.0
